Date,Open,High,Low,Close,Adj Close,Volume
2021-07-21,16.139999,16.590000,15.680000,15.830000,15.830000,1978900
2021-07-22,15.680000,15.770000,14.820000,14.990000,14.990000,1823900
2021-07-23,15.000000,15.100000,14.310000,14.370000,14.370000,1661900
2021-07-26,14.100000,14.770000,13.900000,14.540000,14.540000,1316700
2021-07-27,14.410000,14.930000,14.020000,14.660000,14.660000,1473900
2021-07-28,14.600000,15.570000,14.590000,15.510000,15.510000,1302000
2021-07-29,15.610000,15.610000,14.910000,14.970000,14.970000,1288700
2021-07-30,14.800000,15.210000,14.610000,14.780000,14.780000,1000400
2021-08-02,14.810000,15.240000,14.800000,14.890000,14.890000,874700
2021-08-03,14.860000,15.140000,14.620000,15.110000,15.110000,1189200
2021-08-04,15.090000,15.720000,15.000000,15.320000,15.320000,1156800
2021-08-05,15.170000,16.180000,15.090000,15.690000,15.690000,1633600
2021-08-06,15.660000,15.690000,14.910000,15.250000,15.250000,1548100
2021-08-09,15.200000,15.290000,14.530000,14.600000,14.600000,1424900
2021-08-10,14.500000,14.780000,14.090000,14.310000,14.310000,1779700
2021-08-11,14.480000,14.790000,14.110000,14.410000,14.410000,1770900
2021-08-12,14.620000,14.860000,14.130000,14.310000,14.310000,1236400
2021-08-13,14.210000,14.450000,13.870000,14.000000,14.000000,1037000
2021-08-16,13.960000,13.960000,13.460000,13.530000,13.530000,1161800
2021-08-17,13.400000,13.700000,13.110000,13.680000,13.680000,1227700
2021-08-18,13.800000,14.290000,13.530000,13.860000,13.860000,1285500
2021-08-19,13.700000,14.100000,13.410000,13.690000,13.690000,1640300
2021-08-20,13.710000,14.480000,13.670000,14.180000,14.180000,900900
2021-08-23,14.280000,14.940000,14.240000,14.720000,14.720000,1272600
2021-08-24,14.740000,14.890000,14.350000,14.880000,14.880000,848200
2021-08-25,14.800000,15.450000,14.550000,15.160000,15.160000,946200
2021-08-26,15.140000,15.760000,15.060000,15.460000,15.460000,1197200
2021-08-27,15.400000,16.180000,15.260000,15.730000,15.730000,1360200
2021-08-30,15.650000,15.930000,15.130000,15.430000,15.430000,859900
2021-08-31,15.640000,16.120001,15.580000,15.810000,15.810000,927400
2021-09-01,15.810000,16.480000,15.720000,16.290001,16.290001,1528100
2021-09-02,16.389999,16.389999,15.840000,16.209999,16.209999,785900
2021-09-03,16.250000,16.280001,15.800000,15.920000,15.920000,906100
2021-09-07,15.910000,16.280001,15.480000,15.810000,15.810000,1033500
2021-09-08,15.840000,16.360001,15.520000,15.910000,15.910000,1542300
2021-09-09,15.860000,16.250000,15.610000,15.990000,15.990000,1179500
2021-09-10,15.980000,16.080000,15.370000,15.420000,15.420000,928500
2021-09-13,15.500000,16.370001,15.150000,15.910000,15.910000,1366200
2021-09-14,15.900000,16.070000,15.350000,15.670000,15.670000,1052700
2021-09-15,15.650000,16.129999,15.550000,15.980000,15.980000,803700
2021-09-16,15.810000,16.110001,15.560000,15.990000,15.990000,1005700
2021-09-17,16.000000,16.750000,15.810000,16.570000,16.570000,2036900
2021-09-20,16.080000,17.330000,16.020000,16.480000,16.480000,1791400
2021-09-21,16.500000,17.200001,16.480000,17.080000,17.080000,1158400
2021-09-22,17.080000,17.290001,16.760000,17.190001,17.190001,1377600
2021-09-23,17.209999,18.030001,17.129999,17.969999,17.969999,1500400
2021-09-24,18.030001,18.410000,17.719999,18.200001,18.200001,2137600
2021-09-27,18.959999,19.680000,18.350000,19.209999,19.209999,3670500
2021-09-28,19.500000,20.600000,18.900000,19.830000,19.830000,3848200
2021-09-29,20.030001,20.549999,19.520000,19.559999,19.559999,2379200
2021-09-30,19.230000,19.230000,16.750000,17.100000,17.100000,3813000
2021-10-01,17.360001,18.650000,17.129999,18.379999,18.379999,2175800
2021-10-04,18.320000,19.070000,18.139999,18.510000,18.510000,1850100
2021-10-05,18.650000,19.889999,18.389999,19.000000,19.000000,2537300
2021-10-06,18.799999,19.930000,18.120001,18.590000,18.590000,2245500
2021-10-07,18.610001,21.309999,17.139999,19.600000,19.600000,6174200
2021-10-08,36.980000,40.900002,29.070000,38.410000,38.410000,145364000
